Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 4087.4, 12034.6, 0, 2.4, 190.3, 
1, -329.5, 4310.8, 3059.4, 301.3, 1.03, 4260.6, 
2, 982.2, 5635.1, 2858.4, 129.5, 3.34, 3016.9, 
3, 546.9, 6373.7, 2762.5, 102.8, 3.01, 2291.7, 
4, 577.5, 7089.9, 2693.1, 117.9, 2.28, 1595.8, 
5, 287.6, 7446, 2602.4, 88.5, 1.31, 1286.1, 
6, 210.4, 7710.3, 2530.3, 91.6, 1.25, 1044, 
7, 238.1, 7977.9, 2479.8, 115.9, 1.2, 802.4, 
8, 110.2, 8113.5, 2417.1, 91.2, 1.15, 690, 
9, 89.3, 8214.7, 2366.5, 81.2, 1.16, 608.9, 
10, 52.2, 8259.7, 2285.2, 63.2, 0.91, 569.4, 
11, 69.8, 8333.8, 2257.7, 107.8, 1.09, 494.7, 
12, 32.6, 8375.2, 2220.6, 78.8, 1.15, 459.5, 
13, 48.2, 8425.4, 2225.6, 121.6, 1.34, 402.9, 
14, 22, 8449, 2202.2, 98.4, 1.31, 377.9, 
15, 38, 8455.2, 2152.2, 92.4, 1.13, 354.2, 
16, 3.5, 8465.8, 2137.3, 89.7, 1.2, 341.2, 
17, 36.7, 8456.4, 2087.1, 84.9, 0.95, 327.1, 
18, 12.1, 8460.7, 2078.8, 93, 1.12, 318.1, 
19, 17.4, 8455.8, 2079.5, 99.9, 1.24, 300.8, 
20, 0.1, 8443.8, 2083.2, 106.3, 1.1, 298.8, 
21, 23.9, 8432.8, 2054.4, 79.9, 1.12, 291.8, 
22, -5.3, 8423.2, 2027, 69.1, 1.07, 298.4, 
23, 24.7, 8412.2, 1992.1, 66.7, 0.89, 295.2, 
24, 17.5, 8402.8, 1978.2, 81.1, 1.07, 287.2, 
25, -9, 8395, 1979, 94.1, 1.14, 287, 
26, -10.3, 8381.2, 1986.4, 112.4, 1.31, 281.2, 
27, 8.6, 8364.2, 1982.9, 103.5, 1.14, 279, 
28, -9.5, 8353.6, 1967.8, 79.5, 1.02, 284.5, 
29, -10.6, 8342.3, 1963.2, 94, 1.21, 283.3, 
30, 10.8, 8330.5, 1911.5, 54.3, 1.1, 287.6, 
31, 7.1, 8311.7, 1908.1, 117.4, 1.26, 276.3, 
32, -15.2, 8305, 1925.5, 105.8, 1.3, 276.3, 
33, 6.6, 8296.7, 1917.6, 88.2, 1.33, 272.7, 
34, -16.8, 8295.5, 1936.6, 97.7, 1.52, 270.2, 
35, 39.8, 8265.7, 1958.5, 118.9, 1.63, 253.7, 
36, -10, 8245.6, 1962.5, 105.1, 1.36, 259.5, 
37, -15.9, 8241.5, 1979.1, 93.5, 1.69, 255.1, 
38, -6.3, 8226.1, 1992.8, 114.8, 1.47, 256.4, 
39, 19.7, 8197.8, 2014.3, 121.4, 1.49, 247, 
40, 4, 8173.1, 2016, 107.3, 1.45, 247.2, 
