Time,TotalSitesBurned,NumberFires,EcoMaps_1,EcoMaps_2,EcoMaps_3,EcoMaps_255,
0, 0, 0, 41190, 136159, 208791, 31, 
1, 2622, 12, 796, 1058, 768, 0, 
2, 3081, 21, 528, 702, 1851, 0, 
3, 3795, 18, 444, 1420, 1931, 0, 
4, 4514, 19, 320, 2622, 1572, 0, 
5, 2746, 15, 837, 1180, 729, 0, 
6, 3797, 16, 404, 1508, 1885, 0, 
7, 2902, 14, 0, 1451, 1451, 0, 
8, 3568, 18, 484, 1371, 1713, 0, 
9, 3144, 10, 460, 1816, 868, 0, 
10, 3605, 16, 392, 1804, 1409, 0, 
11, 2559, 12, 257, 1028, 1274, 0, 
12, 3101, 18, 704, 919, 1478, 0, 
13, 3366, 21, 651, 1688, 1027, 0, 
14, 3223, 17, 573, 1136, 1514, 0, 
15, 5497, 29, 814, 2530, 2153, 0, 
16, 3286, 19, 362, 1355, 1569, 0, 
17, 5469, 20, 258, 1474, 3737, 0, 
18, 1171, 7, 133, 431, 607, 0, 
19, 2854, 18, 326, 688, 1840, 0, 
20, 2888, 14, 391, 559, 1938, 0, 
21, 4769, 20, 790, 1803, 2176, 0, 
22, 3597, 15, 567, 1003, 2027, 0, 
23, 5059, 15, 910, 1693, 2456, 0, 
24, 2410, 11, 7, 1280, 1123, 0, 
25, 4032, 15, 341, 1606, 2085, 0, 
26, 4287, 18, 430, 2265, 1592, 0, 
27, 3729, 15, 258, 2150, 1321, 0, 
28, 6125, 19, 821, 781, 4523, 0, 
29, 3901, 17, 689, 1134, 2078, 0, 
30, 5425, 17, 431, 1836, 3158, 0, 
31, 3922, 17, 459, 2214, 1249, 0, 
32, 3117, 16, 587, 1882, 648, 0, 
33, 3716, 17, 175, 852, 2689, 0, 
34, 2297, 15, 1026, 898, 373, 0, 
35, 4240, 17, 349, 2036, 1855, 0, 
36, 2479, 16, 69, 1269, 1141, 0, 
37, 1075, 8, 0, 577, 498, 0, 
38, 1658, 10, 101, 856, 701, 0, 
39, 4139, 13, 289, 725, 3125, 0, 
40, 2518, 16, 8, 607, 1903, 0, 
