"","Species","shape","scale","location"
"1","AbieConc",2.92453283387369,9.36134992856694,0.0138301390101736
"2","AbieLasi",5.51754640784316,11.9261435336439,0.0250564218495595
"3","JuniOste",1.50125538885148,3.46362215165743,0.00774088159733004
"4","PiceEnge",6.23945176290889,12.3551957245684,0.0297007269321138
"5","PicePung",2.38212539410625,12.0174177574274,0.0314541376820551
"6","PinuEdul",1.82132259570474,3.55838230929755,0.00863062861974569
"7","PinuPond",2.33877530374163,6.55709618321713,0.00843339417107742
"8","PopuTrem",1.92918083839612,9.36553202667212,0.0200134090560666
"9","PseuMenz",2.48062166535357,7.75505131695016,0.0100416903254567
"10","QuerGamb",1.59679018379909,5.66935683981357,0.00984122200232834
